time,站点名称,O3_8H,气温(℃),风速(m/s),风向(°),SO2,NO2,PM10,CO,PM2.5
2024-01-02,上海庙东,48.0,-3.8,3.1,128.8,6,20,56,0.715,21
2024-01-02,独贵塔拉工业园区,64.0,-6.4,1.8,329.1,4,28,64,0.665,27
2024-01-02,新能源产业示范区,79.0,-5.9,3.1,207.0,6,25,43,0.754,9
2024-01-02,独贵塔拉南项目区,75.0,-4.4,4.1,298.8,3,5,135,0.129,11
2024-01-02,乌审召,76.0,-4.6,2.0,298.8,3,22,41,0.744,27
2024-01-02,蒙大工业园,77.0,-2.6,2.1,277.6,6,22,49,0.587,20
2024-01-02,中天合创宿舍楼站,59.0,-3.6,4.3,189.9,17,14,66,0.683,30
2024-01-02,查汗淖尔湖站,73.0,-5.0,2.8,314.9,21,18,48,0.449,16
2024-01-02,纳林陶亥镇,47.0,-5.6,1.4,270.6,6,63,70,1.941,14
2024-01-02,圣圆煤化工基地,45.0,-4.8,2.2,203.8,14,23,199,1.415,34
2024-01-02,空港物流园区,76.0,-5.3,2.1,300.7,7,20,49,0.795,14
2024-01-03,装备制造基地,70.0,-7.0,1.5,153.7,8,23,81,0.099,16
2024-01-03,麻黄湾,69.0,-5.5,4.6,204.4,27,37,41,0.597,13
2024-01-03,蒙古象棋广场-超级站,75.0,-9.7,0.4,70.8,9,31,38,0.985,19
2024-01-03,达旗经济开发区,27.0,-10.4,0.0,157.0,17,62,81,1.093,66
2024-01-03,敖包梁,41.0,-5.8,6.6,269.3,18,52,92,0.948,23
2024-01-03,青达门,88.0,-5.8,5.2,150.8,7,11,24,0.249,9
2024-01-03,高头窑,60.0,-6.5,6.9,218.2,11,23,61,1.463,13
2024-01-03,准格尔旗经济开发区,15.0,-10.5,1.0,258.3,8,37,96,0.819,39
2024-01-03,大路新区,51.0,-5.9,5.8,339.0,7,35,32,0.363,15
2024-01-03,哈尔乌素矿区,11.0,-5.7,4.1,159.7,25,52,93,0.683,22
2024-01-03,窑沟,22.0,-6.3,4.6,339.6,17,64,186,0.943,24
2024-01-03,黑岱沟,26.0,-6.5,3.6,219.1,24,67,174,0.738,22
2024-01-03,羊市塔,42.0,-7.2,0.8,90.3,18,80,232,1.453,36
2024-01-03,黄天棉图,42.0,-6.5,3.9,308.1,18,53,71,0.768,13
2024-01-03,纳日松,25.0,-8.3,1.7,289.5,22,52,160,1.598,35
2024-01-03,上海庙东,43.0,-2.7,4.5,195.1,17,27,109,0.915,28
2024-01-03,独贵塔拉工业园区,49.0,-9.0,1.4,138.5,5,32,42,0.727,22
2024-01-03,新能源产业示范区,81.0,-7.2,2.6,122.0,9,27,36,0.751,13
2024-01-03,独贵塔拉南项目区,72.0,-5.7,3.0,207.1,7,12,135,0.272,11
2024-01-03,乌审召,55.0,-7.9,0.9,129.6,4,31,34,0.65,23
2024-01-03,蒙大工业园,48.0,-3.9,1.4,74.9,7,28,44,0.691,20
2024-01-03,中天合创宿舍楼站,65.0,-6.2,2.3,76.6,13,14,47,0.454,18
2024-01-03,查汗淖尔湖站,69.0,-8.8,0.9,217.0,17,31,40,0.511,14
2024-01-03,纳林陶亥镇,40.0,-7.4,0.8,216.9,10,69,108,2.235,33
2024-01-03,圣圆煤化工基地,20.0,-6.6,2.4,88.8,17,27,188,1.592,39
2024-01-03,空港物流园区,69.0,-6.3,3.4,219.7,10,28,38,0.84,13
2024-01-04,装备制造基地,69.0,-5.2,2.3,261.3,6,11,93,0.142,12
2024-01-04,麻黄湾,73.0,-5.0,3.2,278.1,22,32,57,0.462,10
2024-01-04,蒙古象棋广场-超级站,76.0,-6.6,0.9,313.1,8,29,41(H),0.935,16
2024-01-04,达旗经济开发区,46.0,-7.8,0.0,213.0,11,58,92,0.654,52
2024-01-04,敖包梁,76.0,-5.4,3.4,335.3,10,26,67,0.866,19
2024-01-04,青达门,72.0,-5.3,4.5,238.0,7,14,65,0.174,14
2024-01-04,高头窑,71.0,-4.7,3.9,306.2,10,16,80,1.44,15
2024-01-04,准格尔旗经济开发区,42.0,-8.7,1.4,1.7,8,30,80,0.953,29
2024-01-04,大路新区,73.0,-5.3,5.3,11.2,6,34,33,0.553,13
2024-01-04,哈尔乌素矿区,23.0,-4.2,3.4,224.7,23,44,61,0.712,18
2024-01-04,窑沟,59.0,-4.5,3.2,346.7,13,40,96,0.955,16
2024-01-04,黑岱沟,55.0,-4.6,2.6,273.4,26,51,131,0.489,16
2024-01-04,羊市塔,21.0,-6.2,1.0,184.7,27,110,523,1.691,58
2024-01-04,黄天棉图,55.0,-4.8,2.6,17.7,15,51,80,0.683,11
2024-01-04,纳日松,52.0,-7.0,0.9,61.4,20,44,135,1.177,27
2024-01-04,上海庙东,44.0,-3.3,3.0,92.9,10,21,61,0.781,22
2024-01-04,独贵塔拉工业园区,60.0,-7.1,1.6,309.2,4,32,80,0.615,20
2024-01-04,新能源产业示范区,81.0,-6.8,2.1,205.4,6,23,43,0.623,5
2024-01-04,独贵塔拉南项目区,74.0,-5.0,2.8,302.0,7,7,135,0.191,13
2024-01-04,乌审召,76.0,-5.4,1.5,318.7,4,24,42,0.652,25
2024-01-04,蒙大工业园,68.0,-2.8,1.7,298.0,11,28,54,0.703,22
2024-01-04,中天合创宿舍楼站,71.0,-4.3,2.3,199.1,9,14,59,0.416,20
2024-01-04,查汗淖尔湖站,73.0,-7.4,1.6,342.2,8,27,62,0.475,19
2024-01-04,纳林陶亥镇,39.0,-5.9,1.0,274.1,10,81,122,1.575,25
2024-01-04,圣圆煤化工基地,21.0,-5.5,1.7,215.0,12,24,190,1.039,31
2024-01-04,空港物流园区,78.0,-5.1,1.7,303.8,8,21,61,0.827,16
2024-01-05,装备制造基地,74.0,-8.3,1.9,265.0,4,16,62,0.2,11
2024-01-05,麻黄湾,74.0,-6.4,4.2,265.7,23,26,31,0.45,7
2024-01-05,达旗经济开发区,37.0,-8.3,0.0,157.0,13,54,65,0.665,31
2024-01-05,敖包梁,73.0,-7.1,3.9,336.2,9,24,48,0.866,12
2024-01-05,青达门,72.0,-7.8,4.9,232.3,6,13,33,0.118,7
2024-01-05,高头窑,67.0,-7.1,3.9,299.8,10,14,42,1.473,8
2024-01-05,准格尔旗经济开发区,27.0,-10.0,1.5,349.8,10,32,88,1.597,32
2024-01-05,大路新区,58.0,-6.6,5.0,5.0,6,35,31,0.316,13
2024-01-05,哈尔乌素矿区,14.0,-6.4,3.3,209.0,23,52,74,0.89,22
2024-01-05,窑沟,45.0,-7.1,3.1,335.5,18,53,147,1.157,23
2024-01-05,黑岱沟,41.0,-7.1,2.5,252.3,27,59,160,0.821,24
2024-01-05,羊市塔,32.0,-7.1,2.1,176.9,25,107,670,1.72,57
2024-01-05,黄天棉图,48.0,-7.5,4.0,355.9,13,51,77,0.634,8
2024-01-05,纳日松,46.0,-8.6,1.9,21.0,16,43,168,1.223,28
2024-01-05,上海庙东,43.0,-4.7,3.7,136.4,8,20,97,0.709,18
2024-01-05,独贵塔拉工业园区,58.0,-8.4,1.6,326.0,3,22,30,0.575,8
2024-01-05,新能源产业示范区,78.0,-7.8,3.0,207.6,7,19,33,0.646,9
2024-01-05,独贵塔拉南项目区,70.0,-7.8,3.0,291.8,5,5,135,0.202,8
2024-01-05,乌审召,61.0,-9.0,1.5,311.7,6,29,34,0.458,22
2024-01-05,蒙大工业园,70.0,-3.8,2.2,287.2,9,21,41,0.541,20
2024-01-05,中天合创宿舍楼站,67.0,-6.1,2.4,182.3,8,14,50,0.442,20
2024-01-05,查汗淖尔湖站,68.0,-8.9,1.8,316.2,5,25,19920,0.48,5702
2024-01-05,纳林陶亥镇,41.0,-7.5,1.3,263.8,9,74,85,0.646,10
2024-01-05,圣圆煤化工基地,19.0,-6.8,2.3,202.4,12,25,203,0.617,33
2024-01-05,空港物流园区,71.0,-7.4,4.3,239.1,8,19,32,0.791,11
2024-01-06,装备制造基地,75.0,-12.1,1.2,316.7,5,9,47,0.21,9
2024-01-06,麻黄湾,66.0,-12.5,1.6,300.0,23,40,36,0.494,8
2024-01-06,达旗经济开发区,41.0,-13.7,0.0,128.0,13,46,71,0.755,26
2024-01-06,敖包梁,62.0,-12.7,2.2,354.2,10,23,29,1.005,22
2024-01-06,青达门,63.0,-12.2,1.9,257.7,5,14,16,0.029,4
2024-01-06,高头窑,61.0,-12.1,2.1,275.0,9,17,42,1.51,9
2024-01-06,准格尔旗经济开发区,40.0,-12.4,1.5,357.1,9,25,39,0.627,13
2024-01-06,大路新区,55.0,-11.8,3.8,360.0,7,24,22,0.452,6
2024-01-06,哈尔乌素矿区,12.0,-11.0,1.4,275.4,28,41,61,0.638,10
2024-01-06,窑沟,42.0,-11.8,0.6,354.8,13,24,65,0.88,10
2024-01-06,黑岱沟,39.0,-11.9,1.3,311.0,57,34,82,1.106,16
2024-01-06,羊市塔,30.0,-10.4,1.2,196.8,16,69,335,1.225,21
2024-01-06,黄天棉图,49.0,-11.5,1.8,57.9,11,45,75,0.689,5
2024-01-06,纳日松,45.0,-11.7,0.9,78.6,16,36,72,0.677,7
2024-01-06,上海庙东,41.0,-9.0,2.8,84.8,5,12,32,0.489,8
2024-01-06,独贵塔拉工业园区,53.0,-13.1,1.4,309.0,3,25,21,0.56,6
2024-01-06,新能源产业示范区,70.0,-14.5,1.0,183.0,7,25,24,0.64,8
2024-01-06,独贵塔拉南项目区,64.0,-13.9,1.0,163.3,12,11,135,0.169,7
2024-01-06,乌审召,61.0,-12.1,1.0,352.2,4,20,24,0.24,18
2024-01-06,蒙大工业园,65.0,-7.6,1.0,344.1,7,13,25,0.522,16
2024-01-06,中天合创宿舍楼站,69.0,-11.6,1.8,228.0,6,11,34,0.426,14
2024-01-06,查汗淖尔湖站,67.0,-13.2,1.6,350.4,3,22,33673(H),0.445,17104
2024-01-06,纳林陶亥镇,45.0,-12.1,0.7,290.0,7,71,99,0.66,12
2024-01-06,圣圆煤化工基地,16.0,-9.7,2.0,231.9,11,22,112,0.406,16
2024-01-06,空港物流园区,66.0,-12.6,4.6,226.6,8,20,16,0.799,6
2024-01-07,装备制造基地,58.0,-9.5,1.1,114.4,8,32,74,0.353,14
2024-01-07,麻黄湾,53.0,-7.6,3.4,203.1,27,40,35,0.661,12
2024-01-07,蒙古象棋广场-超级站,52.0,-13.0,0.3,7.6,9,32,20,1.003,14
2024-01-07,达旗经济开发区,26.0,-13.6,0.0,73.0,17,54,79,1.18,46
2024-01-07,敖包梁,37.0,-8.2,4.5,261.3,21,57,114,1.269,30
2024-01-07,青达门,77.0,-8.2,3.1,138.4,7,12,16,0.105,9
2024-01-07,高头窑,60.0,-9.4,4.6,211.4,14,25,53,1.662,15
2024-01-07,准格尔旗经济开发区,11.0,-14.5,1.0,308.9,11,31,79,0.898,32
2024-01-07,大路新区,21.0,-10.9,2.6,9.3,8,51,47,0.731,23
2024-01-07,哈尔乌素矿区,9.0,-9.0,2.6,148.7,23,58,96,0.711,18
2024-01-07,窑沟,9.0,-9.5,2.0,333.1,24,74,257,1.412,26
2024-01-07,黑岱沟,22.0,-9.6,2.3,210.0,37,70,160,0.852,20
2024-01-07,羊市塔,34.0,-10.5,0.5,77.4,31,106,510,1.513,50
2024-01-07,黄天棉图,31.0,-9.0,1.8,297.8,26,65,96,1.317,26
2024-01-07,纳日松,17.0,-11.6,1.1,297.6,18,52,190,1.628,35
2024-01-07,上海庙东,40.0,-7.5,2.0,112.3,22,33,75,1.031,35
2024-01-07,独贵塔拉工业园区,36.0,-12.9,1.6,132.1,8,39,52,0.845,30
2024-01-07,新能源产业示范区,70.0,-10.3,2.8,96.3,23,30,33,0.729,19
2024-01-07,独贵塔拉南项目区,65.0,-8.7,2.0,185.7,6,12,135,0.158,10
2024-01-07,乌审召,50.0,-10.7,0.4,119.8,11,41,30,0.4,22
2024-01-07,蒙大工业园,43.0,-6.0,1.2,72.6,14,35,42,0.697,24
2024-01-07,中天合创宿舍楼站,58.0,-8.2,1.3,36.6,12,13,37,0.56,17
2024-01-07,查汗淖尔湖站,55.0,-12.2,0.8,155.8,5,34,0(BB),0.542,17204
2024-01-07,纳林陶亥镇,29.0,-9.9,0.7,221.5,15,103,206,1.792,46
2024-01-07,圣圆煤化工基地,7.0,-9.8,2.1,220.6,15,27,286,0.942,38
2024-01-07,空港物流园区,50.0,-9.9,3.6,219.2,11,42,33,1.015,17
2024-01-08,装备制造基地,62.0,-5.8,1.3,259.3,9,33,72,0.433,29
2024-01-08,麻黄湾,48.0,-4.2,2.6,261.4,32,42,60,0.777,23
2024-01-08,蒙古象棋广场-超级站,61.0,-8.5,0.4,357.1,9,32,35,1.144,24
2024-01-08,达旗经济开发区,12.0,-11.0,0.0,214.0,19,59,132,1.235,72
2024-01-08,敖包梁,46.0,-5.2,2.9,321.4,21,45,72,1.187,28
2024-01-08,青达门,57.0,-5.7,3.3,215.8,11,26,44,0.202,25
2024-01-08,高头窑,40.0,-6.2,3.3,222.4,15,30,85,1.782,29
2024-01-08,准格尔旗经济开发区,8.0,-10.3,0.9,344.7,15,36,108,1.284,50
2024-01-08,大路新区,19.0,-7.2,2.4,10.6,10,56,48,0.815,34
2024-01-08,哈尔乌素矿区,8.0,-4.9,2.0,185.4,22,63,92,0.821,31
2024-01-08,窑沟,23.0,-5.4,2.6,306.8,24,61,139,1.176,30
2024-01-08,黑岱沟,23.0,-5.6,1.8,230.6,36,64,101,0.731,24
2024-01-08,羊市塔,17.0,-6.3,0.5,143.1,36,137,658,2.037,79
2024-01-08,黄天棉图,28.0,-5.4,1.8,351.3,20,61,76,0.837,19
2024-01-08,纳日松,13.0,-7.1,0.8,327.4,20,62,210,1.958,55
2024-01-08,上海庙东,40.0,-3.5,2.5,135.2,16,33,98,0.964,49
2024-01-08,独贵塔拉工业园区,22.0,-10.4,1.0,213.7,6,53,91,1.123,49
2024-01-08,独贵塔拉南项目区,60.0,-6.2,2.4,293.0,10,15,135,0.404,22
2024-01-08,乌审召,66.0,-7.6,0.8,302.0,8,37,46,0.422,36
2024-01-08,蒙大工业园,53.0,-3.1,1.1,274.7,9,35,56,0.715,32
2024-01-08,中天合创宿舍楼站,61.0,-4.6,2.1,177.4,22,16,61,0.586,23
2024-01-08,查汗淖尔湖站,59.0,-7.8,1.3,302.9,12,32,0(BB),0.474,24546
2024-01-08,纳林陶亥镇,22.0,-6.1,0.8,257.1,16,99,137,1.591,48
2024-01-08,圣圆煤化工基地,4.0,-5.9,1.6,167.3,18,34,261,1.375,58
2024-01-08,空港物流园区,61.0,-5.5,3.1,239.5,16,37,48,1.082,26
2024-01-09,装备制造基地,76.0,-7.4,1.4,304.4,5,18,45,0.342,16
2024-01-09,麻黄湾,56.0,-7.6,1.6,317.0,25,45,58,0.75,18
2024-01-09,蒙古象棋广场-超级站,72.0,-7.7,0.6,345.9,8,23,34,1.101,16
2024-01-09,达旗经济开发区,49.0,-7.6,0.0,144.0,14,49,54,0.789,37
2024-01-09,敖包梁,56.0,-8.2,2.0,16.3,11,29,50,1.171,23
2024-01-09,青达门,70.0,-7.6,2.4,278.7,7,19,38,0.112,16
2024-01-09,高头窑,68.0,-7.5,2.6,1.9,10,17,45,1.661,16
2024-01-09,准格尔旗经济开发区,40.0,-7.0,1.5,358.8,12,31,65,0.892,31
2024-01-09,大路新区,55.0,-6.6,2.8,359.7,7,46,54,1.414,43
2024-01-09,哈尔乌素矿区,9.0,-6.3,1.4,322.3,24,53,104,1.049,46
2024-01-09,窑沟,24.0,-7.2,0.6,20.6,15,55,123,1.46,54
2024-01-09,黑岱沟,28.0,-7.3,1.1,45.2,32,58,120,1.19,46
2024-01-09,羊市塔,35.0,-6.3,0.9,221.3,18,76,255,1.314,40
2024-01-09,黄天棉图,50.0,-7.0,1.4,57.2,14,49,62,0.815,12
2024-01-09,纳日松,44.0,-7.3,0.8,106.1,13,40,87,0.764,16
2024-01-09,上海庙东,45.0,-5.1,2.9,99.0,9,16,88,0.594,26
2024-01-09,独贵塔拉工业园区,54.0,-8.7,1.7,305.0,3,31,39,0.699,17
2024-01-09,新能源产业示范区,70.0,-9.4,1.7,219.6,10,27,43,0.534,17
2024-01-09,独贵塔拉南项目区,70.0,-8.3,1.5,351.4,4,11,135,0.255,16
2024-01-09,乌审召,72.0,-6.4,1.8,332.4,3,20,41,0.298,32
2024-01-09,蒙大工业园,74.0,-3.8,1.8,313.3,9,23,62,0.671,23
2024-01-09,中天合创宿舍楼站,62.0,-6.0,2.2,200.7,7,14,55,0.528,23
2024-01-09,查汗淖尔湖站,66.0,-7.2,1.9,331.8,2,19,0(BB),0.42,22404
2024-01-09,纳林陶亥镇,42.0,-6.9,0.7,303.5,6,73,93,0.849,22
2024-01-09,圣圆煤化工基地,18.0,-4.8,1.9,224.2,11,23,104,0.441,19
2024-01-09,空港物流园区,72.0,-7.5,2.1,260.9,7,24,45,0.862,17
2024-01-10,装备制造基地,78.0,-6.2,1.6,183.4,6,33,59,0.328,17
2024-01-10,麻黄湾,64.0,-4.0,4.4,203.4,35,46,43,0.693,16
2024-01-10,蒙古象棋广场-超级站,75.0,-9.7,0.6,146.3,11,35,27,1.19,19
2024-01-10,达旗经济开发区,31.0,-9.7,0.0,80.0,19,58,80,1.143,55
2024-01-10,敖包梁,58.0,-4.8,6.6,272.4,21,44,72,1.222,25
2024-01-10,青达门,80.0,-4.8,5.1,158.4,8,12,25,0.195,14
2024-01-10,高头窑,58.0,-5.1,5.5,215.3,12,21,46,1.676,16
2024-01-10,准格尔旗经济开发区,19.0,-9.7,1.1,227.7,11,35,85,0.886,42
2024-01-10,大路新区,46.0,-5.7,5.1,340.8,7,46,49,1.029,35
2024-01-10,哈尔乌素矿区,9.0,-5.7,4.3,157.5,21,53,99,0.828,39
2024-01-10,窑沟,15.0,-6.2,4.5,297.0,16,69,212,1.194,40
2024-01-10,黑岱沟,26.0,-6.6,3.6,216.7,23,66,168,0.818,37
2024-01-10,羊市塔,30.0,-7.2,0.7,97.6,26,100,341,1.872,69
2024-01-10,黄天棉图,51.0,-5.8,3.5,313.3,21,60,93,0.996,26
2024-01-10,纳日松,30.0,-7.7,1.7,307.4,18,52,190,1.329,49
2024-01-10,上海庙东,38.0,-2.9,3.2,176.9,47,32,93,0.845,28
2024-01-10,新能源产业示范区,79.0,-5.7,2.7,133.1,15,25,37,0.508,15
2024-01-10,独贵塔拉南项目区,69.0,-4.5,2.9,218.3,8,12,135,0.271,17
2024-01-10,乌审召,63.0,-7.8,0.9,180.0,8,32,34,0.378,26
2024-01-10,蒙大工业园,42.0,-4.1,0.7,40.5,9,42,60,0.835,28
2024-01-10,中天合创宿舍楼站,59.0,-5.3,2.8,88.6,17,14,55,0.55,22
2024-01-10,查汗淖尔湖站,64.0,-8.1,1.4,238.7,8,29,0(BB),0.57,23417
2024-01-10,纳林陶亥镇,45.0,-6.1,1.0,234.4,10,86,134,1.362,50
2024-01-10,圣圆煤化工基地,15.0,-6.0,2.2,95.5,12,24,180,0.841,41
2024-01-10,空港物流园区,74.0,-5.2,3.5,229.4,10,32,35,0.869,18
2024-01-11,装备制造基地,81.0,-2.1,1.6,275.7,8,25,92,0.347,15
2024-01-11,麻黄湾,61.0,-1.4,1.8,265.7,27,42,63,0.733,21
2024-01-11,蒙古象棋广场-超级站,64.0,-5.6,0.5,253.7,9,43,37,1.299,20
2024-01-11,达旗经济开发区,18.0,-7.9,0.0,216.0,17,59,143,1.334,91
2024-01-11,敖包梁,61.0,-1.2,2.5,321.7,16,46,63,1.201,25
2024-01-11,青达门,62.0,-1.5,2.0,181.6,10,19,40,0.62,22
2024-01-11,高头窑,52.0,-2.6,2.7,202.7,14,34,100,1.816,30
2024-01-11,准格尔旗经济开发区,12.0,-7.7,1.1,334.4,16,40,123,1.026,57
2024-01-11,大路新区,36.0,-3.9,2.7,359.5,7,49,53,0.947,38
2024-01-11,哈尔乌素矿区,10.0,-1.9,2.3,173.3,24,63,97,0.945,38
2024-01-11,窑沟,12.0,-2.3,2.2,276.5,24,78,180,1.327,44
2024-01-11,黑岱沟,28.0,-2.3,2.0,215.5,43,76,144,1.006,40
2024-01-11,羊市塔,21.0,-3.7,0.7,155.2,26,111,405,1.437,63
2024-01-11,黄天棉图,38.0,-2.2,1.3,345.2,23,65,88,1.062,26
2024-01-11,纳日松,31.0,-4.4,0.7,337.3,16,55,172,1.689,50
2024-01-11,上海庙东,39.0,1.3,3.1,173.3,34,29,97,0.773,34
2024-01-11,独贵塔拉工业园区,39.0,-7.0,0.8,135.1,10,46,93,0.84,50
2024-01-11,新能源产业示范区,74.0,-3.5,1.3,182.5,13,34,50,0.614,17
2024-01-11,独贵塔拉南项目区,70.0,-2.9,2.0,166.5,9,16,135,0.368,21
2024-01-11,乌审召,62.0,-3.3,0.9,269.6,7,41,56,0.476,37
2024-01-11,蒙大工业园,65.0,0.5,1.4,274.0,10,34,54,0.706,25
2024-01-11,中天合创宿舍楼站,68.0,-1.4,1.4,177.6,25,18,74,0.612,30
2024-01-11,查汗淖尔湖站,65.0,-4.6,0.9,304.0,14,39,0(BB),0.609,33000
2024-01-11,纳林陶亥镇,32.0,-3.5,0.8,260.5,11,100,130,1.535,43
2024-01-11,圣圆煤化工基地,20.0,-2.7,2.0,215.7,14,23,182,1.075,45
2024-01-11,空港物流园区,73.0,-2.1,1.5,269.2,12,31,50,0.942,21
2024-01-12,装备制造基地,78.0,0.0,1.2,140.8,8,27,86,0.35,17
2024-01-12,麻黄湾,56.0,0.4,2.2,210.7,31,50,67,0.801,24
2024-01-12,蒙古象棋广场-超级站,65.0,-4.4,0.3,157.2,9,36,33,1.252,18
2024-01-12,达旗经济开发区,28.0,-7.1,0.0,53.0,22,62,144,1.548,121
2024-01-12,敖包梁,52.0,1.0,3.6,271.8,16,64,82,1.412,33
2024-01-12,青达门,84.0,0.4,3.0,143.3,9,14,26,0.513,15
2024-01-12,高头窑,39.0,-2.3,3.9,211.6,14,41,89,1.982,36
2024-01-12,准格尔旗经济开发区,8.0,-7.0,1.0,327.1,16,40,133,1.357,67
2024-01-12,大路新区,17.0,-3.6,2.7,1.7,9,62,65,1.146,47
2024-01-12,哈尔乌素矿区,9.0,-0.6,2.1,136.9,28,71,113,1.056,45
2024-01-12,窑沟,7.0,-0.9,1.8,343.5,29,88,168,1.37,47
2024-01-12,黑岱沟,27.0,-0.7,2.1,206.2,77,73,119,1.279,42
2024-01-12,羊市塔,29.0,-2.6,0.4,108.2,24,111,490,2.155,81
2024-01-12,黄天棉图,45.0,0.7,2.0,313.5,20,68,87,0.92,21
2024-01-12,纳日松,21.0,-3.4,0.8,306.4,17,70,240,2.708,61
2024-01-12,上海庙东,54.0,0.1,2.6,105.8,20,33,87,0.907,41
2024-01-12,独贵塔拉工业园区,39.0,-5.9,1.7,132.0,11,47,105,0.992,65
2024-01-12,新能源产业示范区,69.0,-2.3,2.1,93.1,20,32,44,0.623,21
2024-01-12,独贵塔拉南项目区,68.0,-0.8,2.1,176.5,10,17,135,0.373,16
2024-01-12,乌审召,67.0,-2.4,0.9,117.0,9,34,39,0.419,32
2024-01-12,蒙大工业园,49.0,0.4,1.6,72.3,18,47,64,0.745,34
2024-01-12,中天合创宿舍楼站,69.0,0.8,1.4,57.5,17,23,56,0.773,28
2024-01-12,查汗淖尔湖站,70.0,-3.5,0.8,221.7,6,35,0(BB),0.588,22208
2024-01-12,纳林陶亥镇,44.0,-1.2,0.6,231.8,11,112,136,1.353,36
2024-01-12,圣圆煤化工基地,9.0,-1.6,2.1,242.4,20,29,221,1.608,60
2024-01-12,空港物流园区,81.0,0.4,1.0,237.3,12,33,36,1.075,20
2024-01-13,装备制造基地,74.0,-2.5,1.9,289.4,11,25,122,0.512,26
2024-01-13,麻黄湾,58.0,-1.0,4.2,278.4,26,36,88,0.672,24
2024-01-13,蒙古象棋广场-超级站,69.0,-5.5,0.9,327.1,8,31,63,1.15,25
2024-01-13,达旗经济开发区,38.0,-5.0,0.0,217.0,17,55,108,1.152,76
2024-01-13,敖包梁,56.0,-2.1,5.2,318.8,18,37,102,1.586,34
2024-01-13,青达门,65.0,-2.2,6.2,240.9,12,23,82,0.635,28
